Name,Rank,Salary,Year,Draft Year,Draft Round,Draft Pick Position,Position,School
Sean Rooks,218,"$2,400,000",2002,1992,2,30,PF/C,Arizona
George McCloud,218,"$2,400,000",2002,1989,1,7,SG/SF,Florida State 
Michael Smith,218,"$2,400,000",2002,1989,1,13,PF,BYU 
Stacey Augmon,218,"$2,400,000",2002,1991,1,9,SG/SF,UNLV
Terry Porter,218,"$2,400,000",2002,1985,1,24,PG,Wisconsin–Stevens Point
Rodney Rogers,218,"$2,400,000",2002,1993,1,9,PF,Wake Forest
Jamie Feick,218,"$2,400,000",2002,1996,2,48,F,Michigan State
Lucious Harris,218,"$2,400,000",2002,1993,2,28,PG,Long Beach State
Calbert Cheaney,218,"$2,400,000",2002,1993,1,6,SG/SF,Indiana
Grant Long,218,"$2,400,000",2002,1988,2,33,F,Eastern Michigan
George Lynch,218,"$2,400,000",2002,1993,1,12,SF,North Carolina
Michael Smith,218,"$2,400,000",2002,1994,2,35,F,Providence
Larry Hughes,225,"$2,343,635",2002,1998,1,8,SG,Saint Louis
Wally Szczerbiak,226,"$2,313,240",2002,1999,1,6,SG/SF,Miami (OH)
Malik Rose,227,"$2,285,000",2002,1996,2,44,F,Drexel
DerMarr Johnson,229,"$2,265,240",2002,2000,1,6,SG/SF,Cincinnati
Shane Battier,230,"$2,203,080",2002,2001,1,6,SF,Duke
Bimbo Coles,231,"$2,200,000",2002,1990,2,40,G,Virginia Tech
Dirk Nowitzki,233,"$2,157,595",2002,1998,1,9,PF,DJK Würzburg
Patrick Ewing,234,"$2,118,420",2002,1985,1,1,C,Georgetown
Richard Hamilton,235,"$2,111,640",2002,1999,1,7,SG/SF,Connecticut
Dell Curry,236,"$2,100,000",2002,1986,1,15,SG/SF,Virginia Tech
Chris Mihm,237,"$2,067,960",2002,2000,1,7,C/PF,Texas
Paul Pierce,238,"$2,051,271",2002,1998,1,10,G/F,Kansas
Bonzi Wells,239,"$2,028,239",2002,1998,1,11,G/F,Ball State
Eddie Griffin,240,"$2,011,080",2002,2001,1,7,PF,Seton Hall
Michael Doleac,241,"$2,000,856",2002,1998,1,12,C,Utah
Bryant Stith,242,"$2,000,000",2002,1992,1,13,SG,Virginia 
Cory Alexander,243,"$1,995,741",2002,1995,1,29,PG,Virginia
Keon Clark,244,"$1,971,163",2002,1998,1,13,F/C,UNLV
Michael Dickerson,245,"$1,940,702",2002,1998,1,14,SG,Arizona
Andre Miller,246,"$1,934,520",2002,1999,1,8,PG,Utah
Matt Harpring,247,"$1,908,401",2002,1998,1,15,F/G,Georgia Tech
Jamal Crawford,248,"$1,894,560",2002,2000,1,8,SG,Michigan
DeSagana Diop,250,"$1,842,480",2002,2001,1,8,C,Oak Hill Academy
Tom Hammonds,251,"$1,800,000",2002,1989,1,9,PF/C,Georgia Tech 
Shawn Marion,252,"$1,778,160",2002,1999,1,9,SF/PF,UNLV
Greg Foster,253,"$1,764,247",2002,1990,2,35,F/C,UTEP
Shammond Williams,255,"$1,750,000",2002,1998,2,34,PG,North Carolina
Joel Przybilla,256,"$1,741,440",2002,2000,1,9,C,Minnesota
Tyronn Lue,258,"$1,700,000",2002,1998,1,23,PG,Nebraska
Rodney White,259,"$1,693,560",2002,2001,1,9,SF/PF,Charlotte
Jason Terry,260,"$1,689,360",2002,1999,1,10,SG/PG,Arizona
Keyon Dooling,261,"$1,654,320",2002,2000,1,10,SG,Missouri
Tony Massenburg,262,"$1,650,000",2002,1990,2,43,F,Maryland
Corie Blount,263,"$1,609,235",2002,1993,1,25,PF,Cincinnati
Joe Johnson,264,"$1,608,840",2002,2001,1,10,SG,Arkansas
Trajan Langdon,265,"$1,604,880",2002,1999,1,11,SG,Duke
Dana Barros,266,"$1,600,000",2002,1989,1,16,PG,Boston College 
Fred Hoiberg,266,"$1,600,000",2002,1995,2,52,SG,Iowa State
Pat Garrity,269,"$1,569,691",2002,1998,1,19,PF,Notre Dame
Kendall Gill,270,"$1,538,000",2002,1990,1,5,SG,Illinois
Kedrick Brown,271,"$1,528,440",2002,2001,1,11,SF,Okaloosa-Walton CC
Muggsy Bogues,273,"$1,520,860",2002,1987,1,12,PG,Wake Forest
Roshown McLeod,274,"$1,509,001",2002,1998,1,20,SF,Duke
Popeye Jones,275,"$1,500,000",2002,1992,2,41,F,Murray State
Danny Manning,275,"$1,500,000",2002,1988,1,1,PF,Kansas
Ricky Davis,277,"$1,496,400",2002,1998,1,21,G/F,Iowa
Etan Thomas,278,"$1,493,040",2002,2000,1,12,PF/C,Syracuse
Brian Skinner,279,"$1,483,461",2002,1998,1,22,F/C,Baylor
Corey Maggette,281,"$1,448,400",2002,1999,1,13,SF/SG,Duke
Al Harrington,282,"$1,436,982",2002,1998,1,25,F,St. Patrick's High School
Courtney Alexander,283,"$1,418,400",2002,2000,1,13,SG,Fresno State
Samaki Walker,284,"$1,400,000",2002,1996,1,9,F,Louisville
Richard Jefferson,285,"$1,379,400",2002,2001,1,13,SF,Arizona
William Avery,286,"$1,375,920",2002,1999,1,14,PG,Duke
Mateen Cleaves,287,"$1,347,480",2002,2000,1,14,PG,Michigan State
Will Perdue,288,"$1,320,000",2002,1988,1,11,C,Vanderbilt
Troy Murphy,289,"$1,310,400",2002,2001,1,14,PF,Notre Dame
Bryce Drew,291,"$1,300,000",2002,1998,1,16,PG,Valparaíso
Jason Collier,293,"$1,280,040",2002,2000,1,15,C,Georgia Tech
Steven Hunter,294,"$1,244,880",2002,2001,1,15,C,DePaul
Greg Buckner,297,"$1,200,000",2002,1998,2,53,SG,Clemson
Kirk Haston,298,"$1,182,600",2002,2001,1,16,PF,Indiana
Cal Bowdler,299,"$1,179,720",2002,1999,1,17,PF,Old Dominion
Desmond Mason,300,"$1,155,240",2002,2000,1,17,SF/SG,Oklahoma State
Michael Bradley,301,"$1,123,560",2002,2001,1,17,PF,Villanova
James Posey,302,"$1,120,680",2002,1999,1,18,SG/SF,Xavier
Quentin Richardson,303,"$1,097,520",2002,2000,1,18,SF/SG,DePaul
Quincy Lewis,304,"$1,070,280",2002,1999,1,19,SF,Minnesota
Jason Collins,305,"$1,067,400",2002,2001,1,18,C,Stanford
Jamaal Magloire,306,"$1,048,080",2002,2000,1,19,PF/C,Kentucky
Dion Glover,307,"$1,027,440",2002,1999,1,20,SG,Georgia Tech
Zach Randolph,308,"$1,019,280",2002,2001,1,19,PF,Michigan State
Michael Ruffin,309,"$1,009,147",2002,1999,2,32,PF,Tulsa
Speedy Claxton,310,"$1,006,200",2002,2000,1,20,PG,Hofstra
Danny Ferry,314,"$1,000,000",2002,1989,1,2,PF,Duke 
Felton Spencer,314,"$1,000,000",2002,1990,1,6,C,Louisville
Dan Majerle,314,"$1,000,000",2002,1988,1,14,SF,Central Michigan
Mark Bryant,314,"$1,000,000",2002,1988,1,21,PF,Seton Hall
Don Reid,314,"$1,000,000",2002,1995,2,58,F,Georgetown
Michael Jordan,314,"$1,000,000",2002,1984,1,3,G/F,North Carolina
Jeff Foster,319,"$986,400",2002,1999,1,21,PF,Southwest Texas State
Brendan Haywood,320,"$978,600",2002,2001,1,20,C,North Carolina
Morris Peterson,321,"$966,000",2002,2000,1,21,SF/SG,Michigan State
Don MacLean,322,"$965,850",2002,1992,1,19,PF,UCLA 
Brian Shaw,323,"$963,415",2002,1988,1,24,SG,UC Santa Barbara
Kenny Thomas,324,"$946,920",2002,1999,1,22,PF,New Mexico
Tim James,325,"$943,252",2002,1999,1,25,SF,Miami
Joseph Forte,326,"$939,360",2002,2001,1,21,SG,North Carolina
Donnell Harvey,327,"$927,360",2002,2000,1,22,SF,Florida
Jeryl Sasser,328,"$901,800",2002,2001,1,22,SG,SMU
DeShawn Stevenson,329,"$890,280",2002,2000,1,23,SG,Washington Union HS
Brandon Armstrong,330,"$865,800",2002,2001,1,23,SG,Pepperdine
Devean George,332,"$834,250",2002,1999,1,23,SF,Augsburg
Andrei Kirilenko,333,"$831,120",2002,1999,1,24,SF,CSKA Moscow
Vonteego Cummings,335,"$810,000",2002,1999,1,26,PG,Pittsburgh
Gerald Wallace,336,"$797,880",2002,2001,1,25,SF,Alabama
Jumaine Jones,339,"$786,600",2002,1999,1,27,SF,Georgia
Scott Padgett,340,"$781,680",2002,1999,1,28,PF,Kentucky
Carlos Rogers,342,"$778,350",2002,1994,1,11,SF,Tennessee State
Monty Williams,342,"$778,350",2002,1994,1,24,SF,Notre Dame
Samuel Dalembert,344,"$771,480",2002,2001,1,26,C,Seton Hall
Mark Madsen,345,"$759,960",2002,2000,1,29,PF,Stanford
Jamaal Tinsley,346,"$749,160",2002,2001,1,27,PG,Iowa State
Tony Parker,348,"$744,480",2002,2001,1,28,PG,Paris Basket Racing
Gary Trent,352,"$715,850",2002,1995,1,11,PF,Ohio
Cherokee Parks,352,"$715,850",2002,1995,1,12,C,Duke
Victor Alexander,358,"$653,350",2002,1991,1,17,C,Iowa State
Erick Barkley,361,"$638,000",2002,2000,1,28,PG,St. John's
Ryan Bowen,363,"$630,850",2002,1998,2,55,SF,Iowa
Laron Profit,363,"$630,850",2002,1999,2,38,SG/SF,Maryland
Rafer Alston,365,"$625,000",2002,1998,2,39,PG,Fresno State
Jacque Vaughn,370,"$590,850",2002,1997,1,27,PG,Kansas
Shawnelle Scott,370,"$590,850",2002,1994,2,43,C,St. John's
Jeff McInnis,370,"$590,850",2002,1996,2,37,G,North Carolina
Mark Pope,370,"$590,850",2002,1996,2,52,F,Kentucky
Stephen Jackson,370,"$590,850",2002,1997,2,42,SG,Butler CC
Jelani McCoy,378,"$565,850",2002,1998,2,33,F/C,UCLA
Vladimir Stepania,378,"$565,850",2002,1998,1,27,C,Olimpija Ljubljana
Sean Marks,378,"$565,850",2002,1998,2,44,PF,California
Derrick Dial,385,"$540,850",2002,1998,2,52,SG,Eastern Michigan
Obinna Ekezie,385,"$540,850",2002,1999,2,37,C,Maryland
Mark Blount,385,"$540,850",2002,1997,2,54,C,Pittsburgh
Charles Smith,385,"$540,850",2002,1988,1,3,PF,Pittsburgh
Charles Smith,385,"$540,850",2002,1997,1,26,SG,New Mexico
Leon Smith,388,"$517,360",2002,1999,1,29,PF,King College Prep HS
Rodney Buford,389,"$481,488",2002,1999,2,53,SG,Creighton
Predrag Drobnjak,390,"$478,558",2002,1997,2,48,C,KK Partizan
Vernon Maxwell,391,"$473,000",2002,1988,2,47,SG,Florida
Soumaila Samake,403,"$465,850",2002,2000,2,36,C,Cincinnati Stuff
Lee Nailon,403,"$465,850",2002,1999,2,43,SF,TCU
Jake Voskuhl,403,"$465,850",2002,2000,2,33,C,Connecticut
Khalid El-Amin,403,"$465,850",2002,2000,2,34,PG,Connecticut
Brian Cardinal,403,"$465,850",2002,2000,2,44,PF,Purdue
Chris Porter,403,"$465,850",2002,2000,2,55,F,Auburn
Dan Langhi,403,"$465,850",2002,2000,2,31,PF,Vanderbilt
Eddie House,403,"$465,850",2002,2000,2,37,SG,Arizona State
Jason Hart,403,"$465,850",2002,2000,2,49,PG,Syracuse
Michael Redd,403,"$465,850",2002,2000,2,43,SG,Ohio State
Lavor Postell,403,"$465,850",2002,2000,2,39,SG,St. John's
Olumide Oyedeji,403,"$465,850",2002,2000,2,42,PF,Würzburg
Jabari Smith,403,"$465,850",2002,2000,2,45,C,LSU
Jerome James,403,"$465,850",2002,1998,2,36,C,Florida A&M
Amal McCaskill,403,"$465,850",2002,1996,2,49,C,Marquette
Terence Morris,416,"$420,000",2002,2001,2,34,SF,Maryland
Brian Scalabrine,429,"$332,817",2002,2001,2,35,PF,USC
Trenton Hassell,429,"$332,817",2002,2001,2,30,SG,Austin Peay
Jeff Trepagnier,429,"$332,817",2002,2001,2,36,SG,USC
Kenny Satterfield,429,"$332,817",2002,2001,2,54,PG,Cincinnati
Gilbert Arenas,429,"$332,817",2002,2001,2,31,PG,Arizona
Jamison Brewer,429,"$332,817",2002,2001,2,41,PG,Auburn
Antonis Fotsis,429,"$332,817",2002,2001,2,48,SF,Panathinaikos
Ernest Brown,429,"$332,817",2002,2000,2,52,C,Indian Hills CC
Loren Woods,429,"$332,817",2002,2001,2,46,C,Arizona
Earl Watson,429,"$332,817",2002,2001,2,40,PG,UCLA
Alvin Jones,429,"$332,817",2002,2001,2,57,C,Georgia Tech
Damone Brown,429,"$332,817",2002,2001,2,37,SF,Syracuse
Alton Ford,429,"$332,817",2002,2001,2,51,PF,Houston
Ruben Boumtje-Boumtje,429,"$332,817",2002,2001,2,50,C,Georgetown
Jarron Collins,429,"$332,817",2002,2001,2,53,F/C,Stanford
Bobby Simmons,429,"$332,817",2002,2001,2,42,F/G,DePaul
Omar Cook,442,"$292,230",2002,2001,2,32,PG,St. John's
Isaiah Rider,445,"$112,797",2002,1993,1,5,SG,UNLV
Dickey Simpkins,450,"$26,190",2002,1994,1,21,PF,Providence
Kevin Garnett,1,"$25,200,000",2003,1995,1,5,PF,Farragut Academy HS
Shaquille O'Neal,2,"$23,571,429",2003,1992,1,1,C,LSU 
Alonzo Mourning,3,"$20,629,800",2003,1992,1,2,C,Georgetown 
Juwan Howard,4,"$20,625,000",2003,1994,1,5,PF,Michigan
Scottie Pippen,5,"$19,727,524",2003,1987,1,5,SF,Central Arkansas
Karl Malone,6,"$19,250,000",2003,1985,1,13,PF,Louisiana Tech
Rasheed Wallace,7,"$16,200,000",2003,1995,1,4,PF,North Carolina
Dikembe Mutombo,8,"$16,105,264",2003,1991,1,4,C,Georgetown
Chris Webber,9,"$14,343,750",2003,1993,1,1,PF/C,Michigan
Allan Houston,9,"$14,343,750",2003,1993,1,11,SG,Tennessee
Shawn Kemp,11,"$13,651,028",2003,1989,1,17,PF/C,Trinity Valley CC
Bryant Reeves,12,"$12,999,998",2003,1995,1,6,C,Oklahoma State
Gary Payton,13,"$12,636,117",2003,1990,1,2,PG,Oregon State
Antonio McDyess,14,"$12,600,000",2003,1995,1,2,PF,Alabama
Latrell Sprewell,20,"$12,375,000",2003,1992,1,24,SG,Alabama 
Damon Stoudamire,20,"$12,375,000",2003,1995,1,7,PG,Arizona
Ray Allen,20,"$12,375,000",2003,1996,1,5,G,Connecticut
Antoine Walker,20,"$12,375,000",2003,1996,1,6,F,Kentucky
Stephon Marbury,20,"$12,375,000",2003,1996,1,4,G,Georgia Tech
Kobe Bryant,20,"$12,375,000",2003,1996,1,13,G,Lower Merion HS
Shareef Abdur-Rahim,20,"$12,375,000",2003,1996,1,3,F,California
Vin Baker,20,"$12,375,000",2003,1993,1,8,PF,Hartford
Allen Iverson,20,"$12,375,000",2003,1996,1,1,G,Georgetown
Tim Duncan,28,"$12,072,500",2003,1997,1,1,PF/C,Wake Forest
Jalen Rose,28,"$12,072,500",2003,1994,1,13,G/F,Michigan
Grant Hill,28,"$12,072,500",2003,1994,1,3,SF,Duke
Tracy McGrady,28,"$12,072,500",2003,1997,1,9,SG/SF,Mt. Zion Christian Academy
Reggie Miller,31,"$12,046,473",2003,1987,1,11,SG,UCLA
Antonio Davis,32,"$12,000,000",2003,1990,2,45,F/C,UTEP
Michael Finley,33,"$11,953,125",2003,1995,1,21,SF/SG,Wisconsin
Vlade Divac,34,"$11,248,076",2003,1989,1,26,C,KK Partizan 
Eddie Jones,35,"$11,212,500",2003,1994,1,10,SG,Temple
Brian Grant,37,"$11,027,862",2003,1994,1,8,PF,Xavier
Tom Gugliotta,38,"$10,892,000",2003,1992,1,6,PF,NC State 
Tim Thomas,39,"$10,750,000",2003,1997,1,7,SF,Villanova
David Robinson,40,"$10,500,000",2003,1987,1,1,C,Navy
Terrell Brandon,41,"$10,175,000",2003,1991,1,11,PG,Oregon
Antawn Jamison,43,"$10,067,750",2003,1998,1,4,F,North Carolina
Vince Carter,43,"$10,067,750",2003,1998,1,5,G/F,North Carolina
Dirk Nowitzki,43,"$10,067,750",2003,1998,1,9,PF,DJK Würzburg
Paul Pierce,43,"$10,067,750",2003,1998,1,10,G/F,Kansas
Steve Smith,46,"$9,900,000",2003,1991,1,5,SG,Michigan State
Glenn Robinson,47,"$9,860,000",2003,1994,1,1,SF,Purdue
Larry Johnson,48,"$9,610,714",2003,1991,1,1,PF,UNLV
Derrick Coleman,49,"$9,380,000",2003,1990,1,1,PF/C,Syracuse
Theo Ratliff,50,"$9,375,000",2003,1995,1,18,PF/C,Wyoming
Jason Kidd,51,"$9,265,000",2003,1994,1,2,PG,California
Glen Rice,52,"$9,200,000",2003,1989,1,4,SF,Michigan 
Kenny Anderson,53,"$9,185,000",2003,1991,1,2,PG,Georgia Tech
Kerry Kittles,54,"$8,966,667",2003,1996,1,8,G,Villanova
Matt Geiger,55,"$8,768,480",2003,1992,2,42,C,Georgia Tech
Mike Bibby,56,"$8,500,000",2003,1998,1,2,PG,Arizona
Dale Davis,58,"$8,055,000",2003,1991,1,13,PF,Clemson
Elden Campbell,59,"$8,050,000",2003,1990,1,27,PF/C,Clemson
John Stockton,61,"$7,875,000",2003,1984,1,16,G,Gonzaga
Greg Ostertag,62,"$7,799,996",2003,1995,1,28,C,Kansas
Jamal Mashburn,63,"$7,750,000",2003,1993,1,4,SF,Kentucky
Raef LaFrentz,64,"$7,270,000",2003,1998,1,3,C/F,Kansas
Maurice Taylor,65,"$7,150,000",2003,1997,1,14,PF,Michigan
Derek Anderson,66,"$7,144,500",2003,1997,1,13,SG,Kentucky
Alan Henderson,67,"$7,091,250",2003,1995,1,16,PF,Indiana
Wesley Person,69,"$7,000,000",2003,1994,1,23,SG,Auburn
Austin Croshere,70,"$6,960,000",2003,1997,1,12,PF,Providence
Luc Longley,71,"$6,900,000",2003,1991,1,7,C,New Mexico
Jermaine O'Neal,71,"$6,900,000",2003,1996,1,17,F/C,Eau Claire HS 
Erick Dampier,73,"$6,858,500",2003,1996,1,10,C,Mississippi State
Arvydas Sabonis,74,"$6,850,000",2003,1986,1,24,C,Zalgiris
Marcus Camby,75,"$6,750,000",2003,1996,1,2,C,Massachusetts
Ron Mercer,75,"$6,750,000",2003,1997,1,6,SF,Kentucky
Kelvin Cato,77,"$6,696,000",2003,1997,1,15,C,Iowa State
Tyrone Hill,78,"$6,600,000",2003,1990,1,11,PF,Xavier
Jerry Stackhouse,80,"$6,375,000",2003,1995,1,3,SG,North Carolina
Bonzi Wells,81,"$6,300,000",2003,1998,1,11,G/F,Ball State
Doug Christie,82,"$6,250,000",2003,1992,1,17,SG,Pepperdine 
Rashard Lewis,83,"$6,233,766",2003,1998,2,32,PF,Alief Elsik HS
Nick Anderson,84,"$6,101,906",2003,1989,1,11,SF/SG,Illinois 
Shandon Anderson,85,"$6,100,000",2003,1996,2,54,F,Georgia
Michael Olowokandi,86,"$6,061,213",2003,1998,1,1,C,Pacific
Lorenzen Wright,87,"$6,050,000",2003,1996,1,7,C,Memphis
Chris Mills,88,"$6,000,000",2003,1993,1,22,SF,Arizona
Steve Nash,89,"$5,750,000",2003,1996,1,15,G,Santa Clara
Bob Sura,92,"$5,639,999",2003,1995,1,17,SG,Florida State
Tariq Abdul-Wahad,93,"$5,625,000",2003,1997,1,11,SF,San Jose State
Charlie Ward,95,"$5,570,000",2003,1994,1,26,PG,Florida State
Jason Williams,96,"$5,500,000",2003,1998,1,7,PG,Florida
Michael Dickerson,96,"$5,500,000",2003,1998,1,14,SG,Arizona
Loy Vaught,98,"$5,364,964",2003,1990,1,13,PF,Michigan
Alvin Williams,99,"$5,350,000",2003,1997,2,47,PG,Villanova
Howard Eisley,100,"$5,312,500",2003,1994,2,30,PG,Boston College
Robert Horry,101,"$5,300,000",2003,1992,1,11,SF,Alabama 
Jason Caffey,102,"$5,250,000",2003,1995,1,20,PF,Alabama
Jerome Williams,102,"$5,250,000",2003,1996,1,26,F,Georgetown
Vitaly Potapenko,104,"$5,238,750",2003,1996,1,12,C,Wright State
Donyell Marshall,106,"$5,186,542",2003,1994,1,4,SF,Connecticut
Christian Laettner,107,"$5,062,500",2003,1992,1,3,PF,Duke 
Al Harrington,108,"$5,060,000",2003,1998,1,25,F,St. Patrick's High School
Brent Barry,109,"$5,040,000",2003,1995,1,15,SG,Oregon State
Danny Fortson,110,"$5,039,068",2003,1997,1,10,PF,Cincinnati
Eric Williams,111,"$5,004,000",2003,1995,1,14,SF,Providence
Brevin Knight,112,"$5,000,000",2003,1997,1,16,PG,Stanford
Calvin Booth,113,"$4,992,900",2003,1999,2,35,C,Penn State
Clarence Weatherspoon,116,"$4,991,800",2003,1992,1,9,PF,Southern Miss 
Joe Smith,116,"$4,991,800",2003,1995,1,1,PF,Maryland
Ruben Patterson,116,"$4,991,800",2003,1998,2,31,SF,Cincinnati
Jahidi White,120,"$4,903,750",2003,1998,2,43,F/C,Georgetown
Cuttino Mobley,120,"$4,903,750",2003,1998,2,41,SG,Rhode Island
Kurt Thomas,120,"$4,903,750",2003,1995,1,10,PF/C,TCU
Elton Brand,122,"$4,895,656",2003,1999,1,1,PF/C,Duke
Sam Cassell,123,"$4,850,000",2003,1993,1,24,PG,Florida State
Scot Pollard,124,"$4,826,874",2003,1997,1,19,C,Kansas
Nazr Mohammed,126,"$4,750,000",2003,1998,1,29,C/F,Kentucky
Danny Ferry,130,"$4,546,000",2003,1989,1,2,PF,Duke 
Larry Hughes,130,"$4,546,000",2003,1998,1,8,SG,Saint Louis
Keon Clark,130,"$4,546,000",2003,1998,1,13,F/C,UNLV
Ricky Davis,130,"$4,546,000",2003,1998,1,21,G/F,Iowa
Devean George,130,"$4,546,000",2003,1999,1,23,SF,Augsburg
Chauncey Billups,130,"$4,546,000",2003,1997,1,3,PG,Colorado
Jerome James,130,"$4,546,000",2003,1998,2,36,C,Florida A&M
Mark Jackson,134,"$4,530,000",2003,1987,1,18,PG,St. John's
Corliss Williamson,135,"$4,500,000",2003,1995,1,13,PF,Arkansas
Aaron McKie,135,"$4,500,000",2003,1994,1,17,SG,Temple
Jim McIlvaine,137,"$4,400,000",2003,1994,2,32,C,Marquette
Adonal Foyle,137,"$4,400,000",2003,1997,1,8,C,Colgate
Steve Francis,139,"$4,383,581",2003,1999,1,2,PG,Maryland
Malik Rose,141,"$4,370,000",2003,1996,2,44,F,Drexel
Rick Fox,142,"$4,340,231",2003,1991,1,24,SF,North Carolina
Derek Strong,143,"$4,212,000",2003,1990,2,47,F,Xavier
Eric Snow,145,"$4,125,000",2003,1995,2,43,PG,Michigan State
Lamond Murray,145,"$4,125,000",2003,1994,1,7,SF,California
Kenyon Martin,147,"$4,067,160",2003,2000,1,1,PF,Cincinnato (Sr.)
Brent Price,148,"$4,048,000",2003,1992,2,32,G,Oklahoma
Travis Knight,151,"$4,000,000",2003,1996,1,29,C,Connecticut
Matt Harpring,151,"$4,000,000",2003,1998,1,15,F/G,Georgia Tech
Shawn Bradley,151,"$4,000,000",2003,1993,1,2,C,BYU
Tony Battie,151,"$4,000,000",2003,1997,1,5,C/F,Texas Tech
Ervin Johnson,154,"$3,998,679",2003,1993,1,23,C,New Orleans
Kwame Brown,155,"$3,974,760",2003,2001,1,1,C,Glynn Academy
Baron Davis,156,"$3,942,922",2003,1999,1,3,PG,UCLA
Lindsey Hunter,157,"$3,870,912",2003,1993,1,10,PG,Jackson State
Yao Ming,158,"$3,858,240",2003,2002,1,1,C,Shanghai Sharks
Tracy Murray,160,"$3,740,000",2003,1992,1,18,SF,UCLA 
Stromile Swift,162,"$3,639,000",2003,2000,1,2,PF/C,LSU
Marc Jackson,165,"$3,575,000",2003,1997,2,37,SF/PF,Temple
Lamar Odom,166,"$3,557,585",2003,1999,1,4,PF/SF,Rhode Island
Tyson Chandler,167,"$3,556,200",2003,2001,1,2,C,Dominguez HS
Jay Williams,169,"$3,451,920",2003,2002,1,2,PG,Duke
Jud Buechler,170,"$3,450,000",2003,1990,2,38,F/G,Arizona
Antonio Daniels,171,"$3,375,000",2003,1997,1,4,PG,Bowling Green
Anthony Peeler,172,"$3,350,812",2003,1992,1,15,SG,Missouri 
Lawrence Funderburke,173,"$3,300,000",2003,1994,2,51,PF,Ohio State
Darius Miles,174,"$3,267,960",2003,2000,1,3,SF/PF,East St. Louis HS (Illinois)
Andrew DeClercq,175,"$3,262,500",2003,1995,2,34,PF/C,Florida
Jonathan Bender,176,"$3,226,745",2003,1999,1,5,PF,Picayune Memorial HS
Pau Gasol,177,"$3,193,680",2003,2001,1,3,PF/C,FC Barcelona
Jon Barry,178,"$3,175,000",2003,1992,1,21,SG,Georgia Tech 
Moochie Norris,179,"$3,150,000",2003,1996,2,33,G,West Florida
Evan Eschmeyer,180,"$3,103,800",2003,1999,2,34,C,Northwestern
LaPhonso Ellis,182,"$3,100,000",2003,1992,1,5,PF,Notre Dame 
Derek Fisher,186,"$3,000,000",2003,1996,1,24,G,Arkansas-Little Rock
Chris Whitney,186,"$3,000,000",2003,1993,2,47,PG,Clemson
